Country,Site,YearMonth,arboviruses_positive
Kenya,Chulaimbo,2014-01,4
Kenya,Chulaimbo,2014-02,2
Kenya,Chulaimbo,2014-03,0
Kenya,Chulaimbo,2014-04,0
Kenya,Chulaimbo,2014-05,0
Kenya,Chulaimbo,2014-06,11
Kenya,Chulaimbo,2014-07,4
Kenya,Chulaimbo,2014-08,7
Kenya,Chulaimbo,2014-09,11
Kenya,Chulaimbo,2014-10,9
Kenya,Chulaimbo,2014-11,8
Kenya,Chulaimbo,2014-12,1
Kenya,Chulaimbo,2015-01,4
Kenya,Chulaimbo,2015-02,8
Kenya,Chulaimbo,2015-03,4
Kenya,Chulaimbo,2015-04,1
Kenya,Chulaimbo,2015-05,5
Kenya,Chulaimbo,2015-06,19
Kenya,Chulaimbo,2015-07,27
Kenya,Chulaimbo,2015-08,4
Kenya,Chulaimbo,2015-09,0
Kenya,Chulaimbo,2015-10,0
Kenya,Chulaimbo,2015-11,0
Kenya,Chulaimbo,2015-12,0
Kenya,Chulaimbo,2016-01,4
Kenya,Chulaimbo,2016-02,2
Kenya,Chulaimbo,2016-03,3
Kenya,Chulaimbo,2016-04,4
Kenya,Chulaimbo,2016-05,0
Kenya,Chulaimbo,2016-06,6
Kenya,Chulaimbo,2016-07,3
Kenya,Chulaimbo,2016-08,10
Kenya,Chulaimbo,2016-09,0
Kenya,Chulaimbo,2016-10,0
Kenya,Chulaimbo,2016-11,1
Kenya,Chulaimbo,2016-12,0
Kenya,Chulaimbo,2017-01,0
Kenya,Chulaimbo,2017-02,0
Kenya,Chulaimbo,2017-03,3
Kenya,Chulaimbo,2017-04,0
Kenya,Chulaimbo,2017-05,0
Kenya,Chulaimbo,2017-06,0
Kenya,Chulaimbo,2017-07,0
Kenya,Chulaimbo,2017-08,0
Kenya,Chulaimbo,2017-09,0
Kenya,Chulaimbo,2017-10,0
Kenya,Chulaimbo,2017-11,0
Kenya,Chulaimbo,2017-12,0
Kenya,Chulaimbo,2018-01,1
Kenya,Chulaimbo,2018-02,0
Kenya,Chulaimbo,2018-03,0
Kenya,Chulaimbo,2018-04,0
Kenya,Chulaimbo,2018-05,1
Kenya,Chulaimbo,2018-06,0
Kenya,Chulaimbo,2018-07,0
Kenya,Kisumu,2014-02,1
Kenya,Kisumu,2014-03,0
Kenya,Kisumu,2014-04,0
Kenya,Kisumu,2014-05,0
Kenya,Kisumu,2014-06,0
Kenya,Kisumu,2014-07,0
Kenya,Kisumu,2014-08,0
Kenya,Kisumu,2014-09,0
Kenya,Kisumu,2014-10,5
Kenya,Kisumu,2014-11,3
Kenya,Kisumu,2014-12,1
Kenya,Kisumu,2015-01,2
Kenya,Kisumu,2015-02,6
Kenya,Kisumu,2015-03,5
Kenya,Kisumu,2015-04,3
Kenya,Kisumu,2015-05,5
Kenya,Kisumu,2015-06,21
Kenya,Kisumu,2015-07,21
Kenya,Kisumu,2015-08,3
Kenya,Kisumu,2015-09,0
Kenya,Kisumu,2015-10,0
Kenya,Kisumu,2015-11,0
Kenya,Kisumu,2015-12,0
Kenya,Kisumu,2016-01,5
Kenya,Kisumu,2016-02,14
Kenya,Kisumu,2016-03,19
Kenya,Kisumu,2016-04,13
Kenya,Kisumu,2016-05,0
Kenya,Kisumu,2016-06,6
Kenya,Kisumu,2016-07,16
Kenya,Kisumu,2016-08,15
Kenya,Kisumu,2016-09,5
Kenya,Kisumu,2016-10,2
Kenya,Kisumu,2016-11,4
Kenya,Kisumu,2016-12,1
Kenya,Kisumu,2017-01,0
Kenya,Kisumu,2017-02,0
Kenya,Kisumu,2017-03,0
Kenya,Kisumu,2017-04,0
Kenya,Kisumu,2017-05,2
Kenya,Kisumu,2017-06,0
Kenya,Kisumu,2017-07,1
Kenya,Kisumu,2017-08,0
Kenya,Kisumu,2017-09,1
Kenya,Kisumu,2017-10,0
Kenya,Kisumu,2017-11,0
Kenya,Kisumu,2017-12,0
Kenya,Kisumu,2018-01,1
Kenya,Kisumu,2018-02,0
Kenya,Kisumu,2018-03,1
Kenya,Kisumu,2018-04,1
Kenya,Kisumu,2018-05,0
Kenya,Kisumu,2018-06,0
Kenya,Kisumu,2018-07,0
Kenya,Kisumu,2018-08,0
Kenya,Kisumu,2018-09,0
Kenya,Kisumu,2018-10,0
Kenya,Kisumu,2018-11,0
Kenya,Kisumu,2018-12,0
Kenya,Kisumu,2019-01,0
Kenya,Kisumu,2019-02,0
Kenya,Kisumu,2019-03,0
Kenya,Kisumu,2019-04,0
Kenya,Kisumu,2019-05,0
Kenya,Kisumu,2019-06,0
Kenya,Msambweni,2014-01,0
Kenya,Msambweni,2014-02,1
Kenya,Msambweni,2014-03,1
Kenya,Msambweni,2014-04,0
Kenya,Msambweni,2014-05,0
Kenya,Msambweni,2014-06,0
Kenya,Msambweni,2014-07,1
Kenya,Msambweni,2014-08,0
Kenya,Msambweni,2014-09,3
Kenya,Msambweni,2014-10,0
Kenya,Msambweni,2014-11,1
Kenya,Msambweni,2014-12,0
Kenya,Msambweni,2015-01,1
Kenya,Msambweni,2015-02,1
Kenya,Msambweni,2015-03,0
Kenya,Msambweni,2015-04,0
Kenya,Msambweni,2015-05,2
Kenya,Msambweni,2015-06,0
Kenya,Msambweni,2015-07,1
Kenya,Msambweni,2015-08,2
Kenya,Msambweni,2015-09,5
Kenya,Msambweni,2015-10,2
Kenya,Msambweni,2015-11,23
Kenya,Msambweni,2015-12,29
Kenya,Msambweni,2016-01,9
Kenya,Msambweni,2016-02,1
Kenya,Msambweni,2016-03,0
Kenya,Msambweni,2016-04,0
Kenya,Msambweni,2016-05,0
Kenya,Msambweni,2016-06,4
Kenya,Msambweni,2016-07,7
Kenya,Msambweni,2016-08,0
Kenya,Msambweni,2016-09,1
Kenya,Msambweni,2016-10,4
Kenya,Msambweni,2016-11,1
Kenya,Msambweni,2016-12,0
Kenya,Msambweni,2017-01,1
Kenya,Msambweni,2017-02,0
Kenya,Msambweni,2017-03,0
Kenya,Msambweni,2017-04,0
Kenya,Msambweni,2017-05,1
Kenya,Msambweni,2017-06,9
Kenya,Msambweni,2017-07,14
Kenya,Msambweni,2017-08,4
Kenya,Msambweni,2017-09,1
Kenya,Msambweni,2017-10,2
Kenya,Msambweni,2017-11,0
Kenya,Msambweni,2017-12,1
Kenya,Msambweni,2018-01,2
Kenya,Msambweni,2018-02,0
Kenya,Msambweni,2018-03,1
Kenya,Msambweni,2018-04,0
Kenya,Msambweni,2018-05,0
Kenya,Msambweni,2018-06,0
Kenya,Msambweni,2018-07,0
Kenya,Msambweni,2018-08,0
Kenya,Msambweni,2018-09,0
Kenya,Msambweni,2018-10,0
Kenya,Msambweni,2018-11,0
Kenya,Msambweni,2018-12,0
Kenya,Msambweni,2019-01,0
Kenya,Msambweni,2019-02,0
Kenya,Msambweni,2019-03,0
Kenya,Msambweni,2019-04,0
Kenya,Msambweni,2019-05,0
Kenya,Msambweni,2019-06,0
Kenya,Ukunda,2014-01,0
Kenya,Ukunda,2014-02,0
Kenya,Ukunda,2014-03,0
Kenya,Ukunda,2014-04,2
Kenya,Ukunda,2014-05,0
Kenya,Ukunda,2014-06,0
Kenya,Ukunda,2014-07,2
Kenya,Ukunda,2014-08,1
Kenya,Ukunda,2014-09,1
Kenya,Ukunda,2014-10,0
Kenya,Ukunda,2014-11,0
Kenya,Ukunda,2014-12,0
Kenya,Ukunda,2015-01,0
Kenya,Ukunda,2015-02,1
Kenya,Ukunda,2015-03,1
Kenya,Ukunda,2015-04,1
Kenya,Ukunda,2015-05,1
Kenya,Ukunda,2015-06,2
Kenya,Ukunda,2015-07,1
Kenya,Ukunda,2015-08,4
Kenya,Ukunda,2015-09,1
Kenya,Ukunda,2015-10,1
Kenya,Ukunda,2015-11,0
Kenya,Ukunda,2015-12,0
Kenya,Ukunda,2016-01,1
Kenya,Ukunda,2016-02,1
Kenya,Ukunda,2016-03,0
Kenya,Ukunda,2016-04,0
Kenya,Ukunda,2016-05,1
Kenya,Ukunda,2016-06,6
Kenya,Ukunda,2016-07,10
Kenya,Ukunda,2016-08,22
Kenya,Ukunda,2016-09,11
Kenya,Ukunda,2016-10,2
Kenya,Ukunda,2016-11,0
Kenya,Ukunda,2016-12,0
Kenya,Ukunda,2017-01,0
Kenya,Ukunda,2017-02,0
Kenya,Ukunda,2017-03,0
Kenya,Ukunda,2017-04,0
Kenya,Ukunda,2017-05,0
Kenya,Ukunda,2017-06,12
Kenya,Ukunda,2017-07,11
Kenya,Ukunda,2017-08,1
Kenya,Ukunda,2017-09,1
Kenya,Ukunda,2017-10,1
Kenya,Ukunda,2017-11,0
Kenya,Ukunda,2017-12,0
Kenya,Ukunda,2018-01,0
Kenya,Ukunda,2018-02,0
Kenya,Ukunda,2018-03,0
Kenya,Ukunda,2018-04,0
Kenya,Ukunda,2018-05,0
Kenya,Ukunda,2018-06,0
Kenya,Ukunda,2018-07,0
Kenya,Ukunda,2018-08,0
Kenya,Ukunda,2018-09,0
Kenya,Ukunda,2018-10,0
Kenya,Ukunda,2018-11,0
Kenya,Ukunda,2018-12,0
Kenya,Ukunda,2019-01,0
Kenya,Ukunda,2019-02,0
Kenya,Ukunda,2019-03,1
Kenya,Ukunda,2019-04,0
Kenya,Ukunda,2019-05,0
Kenya,Ukunda,2019-06,0
